,City,Country,Cloudiness,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speeds
379,Labrador,PH,76,1522694114,100,16.03,120.15,297.458,3.02
380,Pinawa,CA,0,1522694114,90,50.15,-95.88,260.458,2.92
381,Krosno Odrzanskie,PL,0,1522694106,71,52.05,15.1,278.108,1.42
382,Pangal,IN,0,1522694107,67,16.28,78.12,298.558,3.57
383,Mus,FR,0,1522692000,82,43.74,4.2,286.15,6.7
384,Pocinhos,BR,40,1522692000,69,-7.08,-36.06,300.15,6.2
385,Taperoa,BR,20,1522694108,82,-7.21,-36.83,301.858,4.52
386,Puma,TZ,24,1522694109,57,-5.0,34.76,294.758,5.32
387,Padilla,CO,75,1522692000,61,3.23,-76.31,300.15,1.0
388,Pitogo,PH,88,1522694110,100,13.79,122.09,298.358,3.37
389,Saint-Andre,CA,90,1522691760,31,47.1,-67.76,274.15,1.5
390,Yershichi,RU,48,1522694111,89,53.67,32.75,274.608,5.32
391,Sao Miguel do Araguaia,BR,0,1522694120,69,-13.28,-50.16,305.708,1.87
392,Entrerrios,CO,90,1522688400,88,4.45,-75.19,297.15,3.6
393,Miamisburg,US,90,1522692960,65,39.64,-84.29,279.15,3.27
394,Pinillos,CO,0,1522694113,71,8.92,-74.46,303.858,1.27
395,Rimbey,CA,75,1522692000,66,52.64,-114.24,261.15,2.1
396,Bar Bigha,IN,0,1522694122,49,25.22,85.74,296.608,3.02
397,Wisch,DE,88,1522693200,88,54.41,9.15,279.15,4.1
398,Amucao,PH,75,1522692000,83,15.46,120.69,298.15,1.0
399,North Royalton,US,75,1522693020,48,41.31,-81.72,278.15,1.32
400,Ustek,CZ,0,1522692000,49,50.58,14.34,282.15,2.1
401,Molaoi,GR,24,1522694115,80,36.81,22.85,288.108,1.17
402,Bhigvan,IN,0,1522694116,25,18.32,74.77,299.658,4.22
403,Tootsi,EE,92,1522694117,94,58.59,24.78,272.458,6.82
404,Stefan cel Mare,RO,0,1522692000,61,46.98,26.52,281.15,3.1
405,La Tijera,MX,20,1522690860,12,29.35,-110.8,303.15,3.1
406,Gainsborough,GB,75,1522693200,93,53.4,-0.77,284.15,7.2
407,Scotts Valley,US,90,1522692000,82,37.05,-122.01,290.15,1.22
408,Bucsa,HU,0,1522691100,57,47.2,21.0,282.15,4.1
409,San Isidro,PH,80,1522694121,99,16.74,121.63,294.208,1.42
410,Fond du Lac,US,1,1522691700,37,43.77,-88.45,276.15,3.6
411,Humpolec,CZ,0,1522692000,72,49.54,15.36,282.15,2.1
412,Khombole,SN,0,1522688400,32,14.76,-16.69,309.15,3.1
413,Fleron,BE,75,1522693500,58,50.62,5.68,286.15,4.6
414,Cockenzie,GB,90,1522693200,93,55.97,-2.97,275.15,9.3
415,Hlatikulu,SZ,92,1522694125,79,-26.97,31.33,294.108,1.37
416,Pardesiyya,IL,0,1522691400,77,32.31,34.91,292.15,1.5
417,Para de Minas,BR,75,1522688400,54,-19.86,-44.61,302.15,2.1
418,Dispur,IN,75,1522692000,78,26.14,91.79,297.15,1.92
419,Dobroteasa,RO,0,1522692000,42,44.79,24.36,282.15,1.5
420,Teocuitatlan de Corona,MX,5,1522691100,19,20.09,-103.38,299.15,2.6
421,Leduc,CA,20,1522692000,52,53.26,-113.55,265.15,3.1
422,Castro,CL,36,1522694089,81,-42.48,-73.76,291.308,1.87
423,Asmar,AF,68,1522694129,100,35.03,71.36,285.958,0.77
424,Tuquerres,CO,90,1522692000,87,1.09,-77.62,287.15,2.6
425,West Warwick,US,75,1522693620,80,41.71,-71.52,278.15,2.1
426,Oxchuc,MX,24,1522694130,51,16.78,-92.34,296.608,0.62
427,Yaval,IN,0,1522694131,34,21.17,75.7,298.058,2.12
428,Pappinisseri,IN,32,1522694132,85,11.94,75.34,298.258,0.27
429,Uvaly,CZ,0,1522692000,49,50.07,14.73,282.15,2.1
430,Praskoveya,RU,36,1522694133,71,44.74,44.2,282.558,6.12
431,Bertrange,FR,90,1522693200,57,49.31,6.19,284.15,3.6
432,Ramanathapuram,IN,12,1522694133,90,9.37,78.83,298.908,2.22
433,Pemagatsel,BT,20,1522694134,71,27.03,91.43,289.358,1.17
434,Guider,CM,0,1522694134,22,9.93,13.94,302.358,2.82
435,Oak Harbor,US,1,1522693140,40,41.51,-83.15,278.15,3.6
436,Remetea Mare,RO,0,1522692000,66,45.78,21.38,282.15,1.32
437,Arboleda,CO,90,1522692000,88,5.5,-75.18,290.15,2.6
438,Kardonikskaya,RU,44,1522694135,64,43.86,41.72,278.508,0.72
439,Kamina,CD,8,1522694144,70,-8.74,25.0,296.958,2.07
440,Detchino,RU,92,1522694136,96,54.81,36.31,274.208,6.27
441,Jatibarang,ID,0,1522694145,96,-6.47,108.3,295.358,1.22
442,Sanmartin,RO,36,1522694146,70,46.27,25.93,274.708,3.02
443,Terracina,IT,8,1522694138,84,41.29,13.25,282.758,1.87
444,Safidon,IN,36,1522694147,50,29.4,76.66,299.108,4.22
445,Monching,PH,0,1522694139,100,7.72,122.87,293.608,1.17
446,Vsetaty,CZ,0,1522692000,49,50.28,14.59,282.15,2.1
447,San Fernando,TT,40,1522692000,62,10.28,-61.46,303.15,7.2
448,Hagondange,FR,90,1522693200,57,49.25,6.17,287.15,3.6
449,Aleksandrovskaya,RU,92,1522694150,91,46.21,39.06,283.058,5.12
450,Erbach,DE,75,1522693200,40,48.33,9.89,286.15,2.1
451,Zavoi,RO,64,1522694142,75,45.52,22.42,279.608,1.17
452,Chapulco,MX,0,1522694143,39,18.62,-97.41,298.258,0.82
453,Kamenka,RU,76,1522694144,92,53.19,44.05,274.608,7.97
454,Vaghodia,IN,0,1522694144,49,22.3,73.38,296.708,1.67
455,Tabuating,PH,75,1522692000,83,15.39,120.94,298.15,1.0
456,Steyr,AT,0,1522691400,53,48.04,14.42,284.15,3.6
457,Mo i Rana,NO,40,1522693200,58,66.32,14.15,271.15,1.5
458,Dabat,ET,56,1522694146,65,12.98,37.77,289.108,0.77
459,Algarrobo,CO,20,1522694147,76,10.19,-74.06,301.308,1.17
460,Garcia,ES,0,1522692000,76,41.14,0.65,287.15,1.5
461,Barceloneta,PR,40,1522691760,66,18.45,-66.54,302.15,5.7
462,Baramula,IN,80,1522694149,86,34.2,74.35,280.458,1.07
463,Egypt Lake-Leto,US,75,1522692900,61,28.02,-82.5,302.15,1.5
464,Lungesti,RO,0,1522692000,42,44.57,24.18,282.15,1.5
465,San Cayetano,CO,75,1522692000,78,7.88,-72.62,302.15,4.1
466,Taseyevo,RU,68,1522694151,77,57.22,94.9,267.358,2.37
467,Novi Sanzhary,UA,36,1522694152,90,49.33,34.31,278.208,4.32
468,Bad Langensalza,DE,0,1522693200,61,51.11,10.65,282.15,3.1
469,Hirapur,IN,0,1522694153,35,24.37,79.21,296.058,3.22
470,Valdobbiadene,IT,40,1522691700,71,45.9,12.0,286.15,2.6
471,Svetogorsk,FI,90,1522693200,96,61.11,28.87,273.15,1.5
472,Amot,NO,0,1522694155,75,59.57,7.99,266.558,0.77
473,Pedroucos,PT,90,1522692000,93,41.19,-8.58,288.15,7.7
474,Faragau,RO,88,1522692000,80,46.77,24.52,279.15,0.5
475,Rocca Priora,IT,0,1522691700,62,41.79,12.76,286.15,3.6
476,Kirovsk,RU,76,1522694166,76,67.62,33.66,269.758,2.77
477,Dengzhou,CN,0,1522694166,77,32.69,112.08,291.758,3.92
478,Bambui,CM,36,1522694158,69,6.01,10.23,293.458,0.62
479,Saryozek,KZ,20,1522694167,75,44.36,77.98,271.108,1.12
480,Gereykhanovskoye,RU,8,1522694168,90,41.7,48.29,278.558,0.97
481,Beibei,CN,0,1522692000,68,29.83,106.43,291.15,3.0
482,Acala,MX,20,1522691640,31,16.55,-92.81,305.15,5.1
483,Tokod,HU,0,1522692000,57,47.72,18.66,282.15,1.0
484,Cakovec,HR,0,1522692000,37,46.38,16.43,286.15,4.6
485,Faribault,US,1,1522692900,59,44.3,-93.27,274.15,6.7
486,Shelburne,CA,1,1522692000,41,44.08,-80.2,278.15,6.2
487,Meghrashen,AZ,0,1522694171,93,39.79,46.54,277.608,0.77
488,Meteti,PA,68,1522694172,75,8.5,-77.98,302.108,3.87
489,Lazuri,RO,40,1522692000,69,46.36,23.02,279.15,2.6
490,Guangyuan,CN,0,1522694173,77,32.43,105.86,286.058,1.02
491,Riobamba,EC,75,1522692000,59,-1.67,-78.65,292.15,5.1
492,Svolvaer,NO,20,1522693200,92,68.23,14.57,271.15,1.5
493,Rondon,BR,32,1522694174,99,-23.42,-52.77,299.208,2.07
494,Tuku,TW,40,1522692000,77,23.68,120.39,294.15,1.0
495,Gladstone,AU,92,1522693955,94,-23.84,151.26,295.608,6.32
496,Arsenal,BR,40,1522692000,62,-22.86,-43.01,306.15,6.2
497,Angers,FR,90,1522692000,71,47.47,-0.55,287.15,2.1
498,New London,US,1,1522692900,30,43.41,-71.99,279.15,1.47
499,Canals,ES,0,1522692000,67,38.96,-0.58,288.15,2.6
